Year,crimes.total,crimes.penal.code,crimes.person,murder,assault,sexual.offenses,rape,stealing.general,burglary,house.theft,vehicle.theft,out.of.vehicle.theft,shop.theft,robbery,fraud,criminal.damage,other.penal.crimes,narcotics,drunk.driving,population,crimes.total_lag1,crimes.total_lag2,crimes.total_growth
1984-01-01,0.4076420284139341,0.4075543548185839,-0.1888264564595158,-1.0536243799027238,-0.1934461451438349,-0.6137319816720657,-0.4234017634698774,0.6537224232305427,1.0156465361600744,2.014744688511204,-0.0069866548434019,0.4181956560221101,0.3103173880742705,-0.1155439923607075,0.9237136736578188,-0.0257793216125494,0.3731356545835305,0.2525103608550657,0.5656046140680921,-0.0068051254051582,0.3413216267598835,0.4133675307150032,0.19430471571233432
1985-01-01,0.5035441919568419,0.5670521593616917,-0.1375964778640319,0.3371598015688717,-0.1433917519450381,-0.550931499826552,-0.4234017634698774,0.8837748413855163,1.0818385687329637,1.8967351487155533,0.4266849922220517,0.8059309914814629,1.074303795598213,-0.0586342647800605,1.0307773257476112,0.0108464856099767,0.1414153490170018,0.1577228030935054,0.1707398794298309,0.0114411170874223,0.4076420284139341,0.3413216267598835,0.23526073578832585
1986-01-01,0.7163420274799106,0.7808411037228238,-0.1136891545194728,0.3371598015688717,-0.1112139277458115,-0.550931499826552,-0.4234017634698774,1.1741135326418983,1.2671762599370535,1.5899103452468608,1.101895278159404,1.6531061422453912,1.1415345994603203,-0.087089128570384,1.1276444395431375,0.129047954373584,0.3267915934702247,0.2355840112547871,0.7782240865656175,0.0395122593837003,0.5035441919568419,0.4076420284139341,0.4226001191595661
1987-01-01,0.7003583335560927,0.7375207123654365,-0.0351365206730642,0.3371598015688717,-0.0325570241477022,-0.4253305361355245,-0.3707755555809661,1.0496826649605917,1.0024081296454963,0.740241658718174,1.2885387718331436,1.7858922160328408,0.8664994927517009,-0.030179400989737,1.204118476750132,0.1640089521769044,0.448971390950758,0.3879211576572947,0.7174756658520388,0.0788118585984894,0.7163420274799106,0.5035441919568419,-0.022312936154323504
1988-01-01,0.6657667571538002,0.7383646160931778,0.0878154279560971,0.3371598015688717,0.0782777036496335,-0.2787960784959926,-0.2128969319142321,0.99952448574022,0.6868927743813912,0.6694359348407835,1.398329062229461,1.5176643469821929,0.8909470577924671,0.0551851903812334,1.229609822485797,0.2272717101067224,0.2411252986850232,-0.1367956799513427,0.9604693487063534,0.1335505860762315,0.7003583335560927,0.7163420274799106,-0.04939125408368117
1989-01-01,0.8098585650640395,0.8790152373833963,0.1561220660834089,0.3371598015688717,0.1569346072477428,-0.2159955966504788,-0.1602707240253208,1.218966519829346,0.8258960427844586,0.9526588303503456,1.9308119706516005,1.6716961925756342,0.9153946228332333,0.3681886920747919,0.9033205970692868,0.3587916542239756,0.3871793094663504,0.0392383558915549,1.2490243470958522,0.2121497845058097,0.6657667571538002,0.7003583335560927,0.2164298628039676
1990-01-01,0.991404700527106,1.091397675531626,0.1800293894279681,-1.0536243799027238,0.1855371176470552,-0.2997295724444971,-0.2128969319142321,1.480367799997052,1.2340802436506089,1.212279817900778,2.3095884725188958,1.714187736187618,1.2148772945826187,0.6242824661877034,1.3162803979870574,0.4220544121537935,0.3956055023960423,-0.2518948572332374,1.0971532953119056,0.304784554083527,0.8098585650640395,0.6657667571538002,0.22417017402132533
1991-01-01,0.9138718568667952,0.9662186225833318,0.1561220660834089,0.3371598015688717,0.1640852348475709,-0.2369290905989834,-0.1602707240253208,1.4109180133842296,1.2539378534224757,1.0706683701459967,1.95825954325068,1.2574036423587915,1.5388075313727705,0.6811921937683504,0.5413434876228462,0.3471379882895354,0.5641293609898813,-0.0927871709906183,1.1730888212038788,0.386190866742733,0.991404700527106,0.8098585650640395,-0.07820503939419343
1992-01-01,0.8835744071903043,0.9673438275536534,0.3337193252144197,0.3371598015688717,0.353576866243016,0.1189403065255941,-0.0550183082474982,1.3800514415563083,1.231873842564846,0.9054550144320854,1.5849725559032006,0.9785528874051472,1.275996207184534,0.6811921937683504,0.2583895499569664,0.3454731788703297,0.3801574820249404,-0.1604925693917328,0.8693467176359854,0.4577722795982418,0.9138718568667952,0.991404700527106,-0.0331528424350056
1993-01-01,0.8539926453014473,0.880703044838879,0.5557158991281833,0.3371598015688717,0.5752463218376876,0.3910757278561535,0.2607389390859697,1.1774895639355771,1.2031906284499272,0.5042225791268722,1.3159863444322228,0.5456702868580616,0.9031708403128502,0.6242824661877034,0.0238691691888498,0.3421435600319182,0.6385607318688269,0.2795925202155115,0.8085982969224068,0.5293536924537505,0.8835744071903043,0.9138718568667952,-0.03347964998547737
1994-01-01,0.6168614249988348,0.679853957636447,0.6479298606000543,0.3371598015688717,0.6717797944353672,0.2445412702166215,0.0502341075303244,0.8967966763754205,0.8126576362698807,-0.2274365676061636,0.8603566392875055,0.2190165453409357,0.4875622346198253,0.3681886920747919,-0.412032842891019,0.4436969346034681,0.2453383951498692,-0.1130987905109526,0.2011140897866202,0.6163742335722122,0.8539926453014473,0.8835744071903043,-0.2776736094945039
1995-01-01,0.6912929549127332,0.7991256844905522,0.6684218520382478,0.3371598015688717,0.6896563634349374,0.2654747641651261,-0.0550183082474982,1.0506472453302145,0.8258960427844586,-0.5106594631157259,1.0854267345999564,0.5748832230913006,0.6709189724255716,0.4820081472360859,-0.3916397663024871,0.5552391656902523,0.0880494604622861,-0.2078863482725129,-0.4974927484195343,0.686552089312907,0.6168614249988348,0.8539926453014473,0.12066167034847264
